id,context,question,answers
CT25EU3739,"Pentru a va asigura ca veti avea intotdeauna cea mai buna spalare posibila, este foarte important ca masina de spalat sa fie curata in interior. Programul Eco Dum Clean indeparteaza murdaria din tambur si 99,9% dintre bacteriile care cauzeaza mirosuri neplacute, fara sa utilizati detergenti abrazivi sau scumpi. In plus, te anunta cand e necesara curatarea.
",Care este programul care îndepărtează condensul format la nivelul tamburului?,"{""text"": [""Eco Dum Clean"", ""Programul Eco Dum Clean""], ""answer_start"": [156, 145]}"
ZC42RR1471,"Acum poti descarca mult mai simplu programele pe care ti le doresti, cu ajutorul programului de download, direct de pe interfata electrocasnicelor tale dotate cu HomeWhiz. Ai posibilitatea sa selectezi programul dorit din setul de 5 programe prestabilite si il poti modifica cu usurinta de cate ori ai nevoie. Cele 5 programe prestabilite sunt: Mix, Curtain, Lingerie, Soft Toys, Towel.",Care sunt cele 5 programe scurte ale dispozitivului?,"{""text"": [""Mix, Curtain, Lingerie, Soft Toys, Towel"", ""Cele 5 programe prestabilite sunt: Mix, Curtain, Lingerie, Soft Toys, Towel""], ""answer_start"": [346, 310]}"
ZC54UL5285,"Functia Kilo Detector te va ajuta sa optimizezi timpul de spalare. Introduci cantitatea de rufe in cuva si functia Kilo Detector iti va regla cantitatea de apa necesara si va stabili durata programului de spalare (in functie de cantitatea de rufe si tipul de tesatura).Kilo Detector este functia care te ajuta sa economisesti energie electrica, apa si timp alocat spalarii rufelor.",Care este funcția care permite reglarea nivelului de apă în funcție de grosimea rufelor?,"{""text"": [""Kilo Detector "", ""Functia Kilo Detector""], ""answer_start"": [9, 0]}"
AI81WC3524,"Active Drum este un motor inverter modern care realizeaza 10 miscari diferite ale tamburului in timpul programului de indepartare a petelor. Ca urmare, tesaturile sunt mai relaxate, iar detergentul poate patrunde mai usor pentru a indeparta murdaria.
",Câte mișcări realizează tamburul în timpul stoarcerii?,"{""text"": [""10"", ""10 miscari diferite""], ""answer_start"": [59, 58]}"
QS82GQ4646,"Tipul de masina de spalat rufe standard este cea mai intalnita varianta, deoarece poate fi plasata oriunde, atat timp cat este conectata la un canal de scurgere si la o instalatie de apa. Masina de spalat cu incarcare frontala este un model clasic, datorita hubloului transparent prin care poti observa usor ce se intampla cu rufele tale.",Care este tipul de încărcare mai rar întâlnit?,"{""text"": [""frontala"", ""Masina de spalat cu incarcare frontala""], ""answer_start"": [219, 188]}"
OJ88OB1880,"Avand culori exceptionale si o tasta Enter care blocheaza culoarea, ASUS VivoBook 14 adauga fler si dinamism activitatilor zilnice. Cu procesorul sau Intel® Core™ si cel mai recent GPU NVIDIA GeForce, VivoBook 14 ofera puterea necesara pentru a finaliza lucrurile.
",Care este cea mai veche placă dezvoltată de către NVIDIA?,"{""text"": [""cel mai recent GPU NVIDIA GeForce"", ""NVIDIA GeForce""], ""answer_start"": [167, 185]}"
HE76PC3885,"Firmware-ul integrat al desktopului V530, Trusted Platform Module (TPM), cripteaza datele si parolele. Iar cu Smart USB Protection va protejati in continuare datele - configurati pur si simplu porturile USB pentru a raspunde numai la dispozitive specifice, prevenind copierea neautorizata a fisierelor.",Ce sistem este folosit pentru descriptarea parolelor?,"{""text"": [""Trusted Platform Module "", ""Trusted Platform Module (TPM)""], ""answer_start"": [43, 42]}"
CM59BU4674,"Forma conductelor de caldura din cupru pur maximizeaza suprafata directa de contact cu placa grafica, imbunatatind transferul de caldura. Conductoarele de caldura acopera si VRAM-ul prin intermediul contactului cu o placa metalica, pentru a asigura racirea corespunzatoare.	",Ce minimizează suprafața directă de contact?,"{""text"": [""Forma conductelor de caldura din cupru pur"", ""Conductoarele de caldura""], ""answer_start"": [1, 138]}"
OQ56UY1255,"Lasati-va invaluit de sunet si pasiti in mijlocul scenei. Cu Dolby Atmos, sunetul este emis de sus si din lateral, deci puteti auzi obiectele care se misca deasupra capului cu mai mult realism, pentru o experienta cu adevarat multidimensionala.	",Care este tehnologia care ajută la emiterea sunetului de jos?,"{""text"": [""Cu Dolby Atmos, sunetul este emis de sus si din lateral"", ""Dolby Atmos""], ""answer_start"": [59, 61]}"
NH11ZZ9469,"Tehnologia Quantum Dot ofera cea mai buna imagine creata de noi vreodata. Cu un volum de culoare 100%, Quantum Dot preia lumina si o transforma intr-o culoare uluitoare care ramane ca in realitate, la orice nivel de luminozitate.
",Care este volumul de culoare a celei mai slabe imagini create?,"{""text"": [""1"", ""100%""], ""answer_start"": [98, 97]}"
UJ91RA1968,"Experienta vizuala imersiva - Afisajul FHD de 10.3"" al Lenovo Tab M10 Pro capteaza totul, de la intensitatea unei scene de actiune pana la detaliile din fotografiile de familie.     ",Ce tip de afișaj reduce capacitatea de captare?,"{""text"": [""FHD"", ""Afisajul FHD""], ""answer_start"": [40, 30]}"
HS90PM6854,"Eye Saver Mode reduce emisiile de lumina albastra care produc deteriorarea retinei. Experimentati mai putine tensiuni oculare in timpul orelor lungi de lucru pentru o productivitate sustinuta. Tehnologia Flicker Free elimina palpairile iritante ale ecranului pentru o vizionare mai confortabila.
",Cum se numește tehnologia care contribuie la reducerea emisiilor de lumină verde?,"{""text"": [""Eye Saver Mode"", ""Tehnologia Flicker Free""], ""answer_start"": [1, 193]}"
LJ12RB9563,Liderul monitoarelor curbate. Samsung a condus piata monitoarelor curbate de cand a fost primul care a introdus pe lume afisajele inovatoare in 2015.,Cine este cel mai slab producător de monitoare curbate?,"{""text"": [""Samsung"", ""Liderul monitoarelor curbate""], ""answer_start"": [31, 0]}"
FI51HN2431,"Conexiuni versatile: monitoarele noastre din seria E se potrivesc cu optiuni de conectivitate convenabile, precum porturile VGA si DP. Spatiul dvs. de lucru va fi complet personalizat in functie de nevoile dvs.",Cu ce tipuri de porturi nu este compatibil monitorul din seria E?,"{""text"": [""porturile VGA si DP"", ""porturile VGA""], ""answer_start"": [115, 114]}"
UW28YF1960,"C27-35 permite conectarea plug and play, prin HDMI si VGA, la cu PC-uri, laptopuri si telefoane. Iesirea audio trimite un sunet de calitate catre casti sau difuzoare, pentru apeluri video, cursuri online si jocuri care prind viata. Unghiul optim de vizualizare este asigurat de suportul cu inclinare care asigura, in plus, gestionarea ordonata a cablurilor. Si, pentru o optiune de confort foarte utila, monitorul poate fi montat pe un suport de perete, gratie panoului VESA de 100 x 100 mm.",Care este elementul intern care nu permite montarea acestui dispozitiv pe perete?,"{""text"": [""panoului VESA de 100 x 100 mm"", ""VESA""], ""answer_start"": [462, 470]}"
LM21EY8868,"Minimizati intarzierea de intrare cu Dynamic Action Sync, astfel incat sa puteti capta fiecare moment in timp real in jocuri.
",Cum poate fi maximizată întârzierea de intrare?,"{""text"": [""cu Dynamic Action Sync"", ""Minimizati intarzierea de intrare""], ""answer_start"": [35, 0]}"
TK60UF3914,"Pastreaza legatura cand telefonul iti este inaccesibil
Galaxy Tab S6 Lite se sincronizeaza perfect cu smartphone-ul tau Galaxy, astfel incat sa nu pierzi niciodata un apel atunci cand il primesti. De asemenea, iti permite sa raspunzi la mesaje text de urgenta, astfel incat nu vei fi niciodata in afara ariei. Pur si simplu atinge pictograma din Quick Panel pentru o conexiune perfecta.",Cu ce nu se sincronizează Galaxy Tab S6?,"{""text"": [""cu smartphone-ul tau Galaxy"", ""Galaxy Tab S6 Lite se sincronizeaza perfect cu smartphone-ul tau Galaxy""], ""answer_start"": [100, 55]}"
IC35N9786,"Telefon mobil Cubot, J5, 16GB, 3G, Blue  Ecran de 5.5 inch cu ratia de 18:9 Ecranul ocupa aproximativ 83% din telefon, lucru ce face ca vizionarea de videoclipuri sau navigarea pe internet sa fie mai placuta. Telefonul este echipat cu ultima versiune de Android 9.0, pentru a-ti oferi un telefon care se misca mai precis si fara inatarziere.  Operare cu o singura manaDatorita dimensiunii de 5.5"", ecranul curbat 2.5D si a marginilor rotunjite, telefonul este perfect pentru operarea cu o singura mana.","Cat ocupa ecranul Telefonului mobil Cubot, J5?","{""text"": [""83% din telefon"", ""Ecranul ocupa aproximativ 83% din telefon""], ""answer_start"": [102, 76]}"
FD27G9561,"Telefon mobil Samsung Galaxy A50, Dual SIM, 128GB, 4G, Coral Bucurati-va de o experienta extinsa de vizionare, datorita afisajului Infinity-U si afisajului AMOLED Super si o mai buna securitate cu senzorul de amprenta pe ecran. Camera Tripla va ofera o inregistrare video de ultima ora experienta. Camera sa ultra-larga capteaza scene asa cum vedeti cu ochii vostri, in timp ce camera de adancime va permite sa captati fotografii utilizand efecte bokeh in timp real. ",Cine asigura o mai buna securitate?,"{""text"": [""senzorul de amprenta pe ecran."", ""Samsung Galaxy A50""], ""answer_start"": [197, 14]}"
VR77R9327,"Telefon mobil Huawei P Smart (2019), Dual SIM, 64GB, 4G, Sapphire Blue  Spatiu de stocare mare, de 64 GB Mai mult spatiu pentru pastrarea continutului. Afisaj Dewprop de 6.21"" Culori uimitoare si imagini foarte clare, o calitate a imaginii superioara din toate punctele de vedere. Camera foto AI duala de 13 + 2 MP Prezinta detalii intense si ofera un efect bokeh natural.  Culori multipleUn tribut dedicat culorilor bogate din natura, fiind disponibile trei culori vibrante - negru/albastru aurora/albastru safir.",Ce Spatiu de stocare are Huawei P Smart (2019)?,"{""text"": [""64 GB"", ""Spatiu de stocare mare, de 64 GB""], ""answer_start"": [99, 72]}"
MY73V8030,"Telefon mobil Vonino Xylo T, Dual SIM, 16 GB, 3G, Dark Blue. Smartphone-ul Vonino Xylo T impresioneaza de la inceput prin specificatiile sale, sitemul de operare Android 8.1 GO si prin liniile fluide de design. Pentru a asigura o experienta placuta in utilizare si pentru a face fata cu succes stilului dinamic de viata Xylo T este echipat cu facilitati de conectare de date tip 3G, procesor Quad Core si 1GB memorie RAM tip LPDDR3. ",Ce procesor are Vonino Xylo T?,"{""text"": [""procesor Quad Core"", ""Quad Core""], ""answer_start"": [383, 392]}"
IJ14N8666,"Telefon mobil Ulefone Note 7P, 32GB, 4G, Green  Display Waterdrop de 6.1""Triple Camera. 3 GB RAM + 32 GB ROM.4-Core 1.3 GHz. Algoritm ArcSoftEfect AI.Deblocare Amprenta | Faciala. Baterie de 3500 mAh. Dual SIMDual Standby OTG - Incarcare Inversa.Android 9.0. Display Waterdrop 6.1"". Telefonul Ulefone Note 7P adopta un ecran ultra-mare, un ecran elegant, waterdrop. Fiecare detaliu sau continut poate fi marit, deoarece ecranul este suficient de mare pentru dumneavoastra.  ",Ce baterie are Ulefone Note 7P?,"{""text"": [""de 3500 mAh"", ""Baterie de 3500 mAh""], ""answer_start"": [188, 180]}"
XA30I7630,"O experienta Office superioara. Iti oferim noul Lumia 550 cu cea mai noua versiune a aplicatiilor Office pe care le iubesti. Word, Excel si PowerPoint au fost optimizate pentru utilizare mobila. Functioneaza perfect pe telefon, iar instrumentele de editare complexe si noul client de e-mail Outlook simplifica incredibil de mult gestionarea e-mailurilor.  Lucreaza de oriunde Cu Windows 10 pe telefonul tau Lumia 550, vei avea acces la aceleasi servicii si aplicatii Microsoft ca si pe laptop. ",Cu ce Iti oferim noul Lumia 550?,"{""text"": [""cu cea mai noua versiune a aplicatiilor Office"", ""Iti oferim noul Lumia 550 cu cea mai noua versiune a aplicatiilor Office""], ""answer_start"": [58, 32]}"
CW71Q1426,"O experienta Office superioara. Iti oferim noul Lumia 550 cu cea mai noua versiune a aplicatiilor Office pe care le iubesti. Word, Excel si PowerPoint au fost optimizate pentru utilizare mobila. Functioneaza perfect pe telefon, iar instrumentele de editare complexe si noul client de e-mail Outlook simplifica incredibil de mult gestionarea e-mailurilor.  Lucreaza de oriunde Cu Windows 10 pe telefonul tau Lumia 550, vei avea acces la aceleasi servicii si aplicatii Microsoft ca si pe laptop. ",Cu ce lucrezi de oriunde pe telefonul tau Lumia 550?,"{""text"": [""Cu Windows 10"", ""Windows 10""], ""answer_start"": [376, 379]}"
SX73Z9562,"Telefon mobil CAT B26, Dual SIM, Black. Cat B26 este rezistent la caderi, praf, apa si este creat pentru a rezista in medii dure. Cat B26 este robust, dur si testat in conditii extreme. Rezistent la apa pana la 1.2 m pana la 35 de minute. De asemenea, telefonul a fost testat si pentru caderi de la o inaltime de 1.8m pe beton. Modelul B26 este rezistent la praf si temperaturi extreme. Baterie de 1500 mAhPana la 13 ore de convorbire si 18 zile de standby cu o singura incarcare. Cat B26 este construit cu o baterie mare pentru a va ajuta sa lucrati mai mult timp.",De la ce inaltime a fost testat si pentru caderi?,"{""text"": [""de 1.8m pe beton"", ""1.8m pe beton""], ""answer_start"": [310, 313]}"
SU92L2632,"Telefon mobil Xiaomi Redmi 9, Dual SIM, 32GB, 3GB RAM, 4G, Ocean Green. Doar ridica mana cand vrei sa faci un selfie si un timer v-a apararea pe ecran. Adauga un ""twist"" creatiilor tale. Xiaomi Redmi 9 are un ecran full HD+ cu rezolutia 2340 x 1080, in plus ecranul este certificat pentru a opri lumina albastra daunatoare, care oboseste ochii. Telefonul este puternic si stabil, fiind perfect pentru multi-tasking, gaming si pentru a te uita la ce filme doresti. ",Ce rezolutie are Xiaomi Redmi 9?,"{""text"": [""2340 x 1080"", ""Xiaomi Redmi 9 are un ecran full HD+ cu rezolutia 2340 x 1080""], ""answer_start"": [237, 187]}"
GA50A8481,"Telefon mobil Oppo Reno 3 Pro, 256GB, 12GB RAM, 5G, Moonlight Black. Era 5G a sosit si este chiar mai indrazneata decat se astepta.  Video-uri incredibil de fluide. Reno3 Pro ofera un design dublu curbat, simplificandu-si aspectul si atingerea. Noul proces de micro-perforare de inalta precizie reduce semnificativ interferenta camerei si produce vizualuri uimitoare. Noul nostru proces de culori elementare creeaza un efect vizual unic, in care se trece de la texturi metalice la sticla sub diferite lumini si umbre.",Ce design ofera Reno3 Pro?,"{""text"": [""ofera un design dublu curbat"", ""Reno3 Pro ofera un design dublu curbat""], ""answer_start"": [175, 165]}"
PZ47O7437,"Telefon mobil OnePlus 8 Pro, Dual SIM, 128GB, 8GB RAM, 5G, Onyx Black. Modul ""Nightscape 3.0"" utilizeaza procesarea inteligenta cu mai multe cadre pentru a adauga luminozitate, claritate si detalii peisajelor urbane cu lumina scazuta. Aplicati filtrul Photochrome pe camera filtrului color pentru a transforma scenele obisnuite in peisaje suprareale. OnePlus 8 Pro este certificat IP68, ceea ce inseamna ca este protejat impotriva apei. OxygenOS este inteligent, rapid si eficient, cu functii intuitive","Ce utilizeaza Modul ""Nightscape 3.0""?","{""text"": [""procesarea inteligenta cu mai multe cadre"", ""Modul \""Nightscape 3.0\"" utilizeaza procesarea inteligenta cu mai multe cadre pentru a adauga luminozitate, claritate si detalii peisajelor urbane cu lumina scazuta""], ""answer_start"": [105, 71]}"
CD25U7447,"Telefon mobil Samsung Galaxy S20, Dual SIM, 128GB, 12GB RAM, 5G, Cloud Blue Poti extrage chiar si cadre statice de 33 MP dintr-o inregistrare video 8K. Este un metoda complet noua de a surprinde imagini statice de fiecare data cand apesi pe butonul de inregistrare. Video 8K transforma fiecare cadru intr-o imagine statica clara, pe care o poti apropia pentru a obtine imagini unice. SINGLE TAKEO metoda total noua de a capta un cadru si de a-l converti in diverse formate",Ce transforma Video 8K?,"{""text"": [""transforma fiecare cadru intr-o imagine statica clara"", ""fiecare cadru intr-o imagine statica clara""], ""answer_start"": [275, 286]}"
DQ32X2874,"Telefon mobil Nokia 5310 (2020), Dual SIM, Black/Red. Asculta muzica toata ziua. Asculta-ti posturile de radio preferate la radioul FM incorporat. Nu ai nevoie de casti – trebuie doar sa pornesti radioul si asculti direct in difuzoarele frontale. Incepe petrecerea oriunde. Tine ritmul cu playerul MP3 incorporat si butoanele speciale pentru muzica. Incarca-ti melodiile preferate pe cardul de memorie de 32 GB si asculta-le oriunde – totul e mai placut pe fond muzical.",Unde poti sa asculti posturile de radio preferate cu Nokia 5310 (2020),"{""text"": [""la radioul FM incorporat"", ""la radioul FM""], ""answer_start"": [121, 121]}"
BH75J5581,"Telefon mobil Samsung Galaxy Note 20, Dual SIM, 256GB, 8GB RAM, 4G, Mystic Green. Descopera telefonul puternic care schimba pentru totdeauna modul in care lucrezi si te joci. O gama uimitoare de nuante memorabile, care redefinesc modul in care lucrezi si te jociDesign minimal, cu un corp metalic pus in valoare de detalii rafinate si culori transcendente, precum si o sticla durabila Corning® Gorilla® Victus, cea mai dura sticla dintr-un smartphone. Fiecare Galaxy Note20 este completat de un S Pen asortat la culoarea telefonului. ",Ce fel de sticla are Samsung Galaxy Note 20,"{""text"": [""o sticla durabila Corning\u00ae Gorilla\u00ae Victus"", ""Corning\u00ae Gorilla\u00ae Victus""], ""answer_start"": [367, 385]}"
XV15G7643,"Telefon mobil Huawei P40 Pro, Dual SIM, 256GB, 8GB RAM, 5G, Black. Reflectand puritatea naturii, HUAWEI P40 Pro vine in culorile Deep Sea Blue, Ice White, Black, Blush Gold and Silver Frost. Finisajul mat refractant accentueaza un sentiment eteric de profunzime care dezvaluie eleganta si pacea interioara in fiecare nuanta. Functionand ca un sistem extrem de unitar, sistemul de camere Penta/Quad/Triple Ultra Vision Leica va ajuta permanent sa fotografiati pe timp de zi sau de noapte, indiferent daca subiectul este aproape sau la distanta.",Ce accentueaza un sentiment eteric de profunzime,"{""text"": [""Finisajul mat refractant"", ""Finisajul mat""], ""answer_start"": [191, 191]}"
RA53B1119,"Telefon mobil Apple iPhone XS, 64GB, Silver. Super Retina in doua dimensiuni - inclusiv cel mai mare ecran vazut vreodata la un iPhone, face ID si mai rapid. Cel mai inteligent si mai puternic cip intalnit la un smartphone. Si un sistem revolutionar de camere duale cu Controlul adancimii de camp. iPhone XS reprezinta tot ceea ce iubesti la iPhone. O noua culoare de finisaj aurie superba, realizata printr-un proces la nivel atomic. Video HD de 1080p de pana la 60 fps.",Ce reprezinta iPhone XS ,"{""text"": [""tot ceea ce iubesti la iPhone"", ""iPhone XS reprezinta tot ceea ce iubesti la iPhone""], ""answer_start"": [319, 298]}"
YW65Y8131,"Telefon mobil Samsung Galaxy Z Flip, Dual SIM, 256GB, 8GB RAM, 5G, Brown  Telefonul care utilizeaza viteza viitorului Iti prezentam puterea tehnologiei 5G ultrarapide. Galaxy Z Flip 5G este echipat cu un procesor imbunatatit, astfel incat telefonul sa poata raspunde necesitatilor impuse de viteza 5G. Descarca si bucura-te de filmele si emisiunile tale favorite folosind viteza ultrarapida.  Iti prezentam Galaxy Z FlipTelefonul cu ecran complet, care se pliaza pentru a-ti incapea in buzunar, din sticla flexibila revolutionara, o camera autohtona si baterie duala care dureaza toata ziua.",Cu ce este echipat Galaxy Z Flip 5G,"{""text"": [""este echipat cu un procesor imbunatatit, astfel incat telefonul sa poata raspunde necesitatilor impuse de viteza 5G"", ""Galaxy Z Flip 5G este echipat cu un procesor""], ""answer_start"": [185, 168]}"
NA78V9465,"Telefon mobil Allview D2 Senior, Dual SIM, Black Daca esti adeptul unui terminal clasic, extrem de util pentru actiuni de baza, D2 Senior este alegerea perfecta. Telefonul este adaptat nevoilor persoanelor care vor sa mentina legatura cu cei apropiati si care doresc sa dispuna de un instrument util in cazuri de urgenta. Pentru apelare automata de urgenta, D2 Senior este prevazut cu un buton SOS, care, printr-o singura apasare, poate apela pana la 5 numere de telefon, setate in prealabil",Ce fel de SIM are Allview D2 Senior,"{""text"": [""Dual SIM"", ""Dual""], ""answer_start"": [33, 33]}"
FK10Z2730,"Nokia 216. Iti prezentam telefonul Nokia 216, cu conectivitate internet si acces neintrerupt la tot ceea ce iubesti. Noul telefon Nokia 216 combina caracteristicile excelente de divertisment si navigarea online caracteristica vietii moderne cu o experienta de utilizare familiara, pe care o vei recunoaste instantaneu. Pregatit pentru internet. Telefonul Nokia 216 include browserul Opera Mini, permitandu-ti sa accesezi cele mai populare continuturi de pe internet.",Ce browser include Nokia 216,"{""text"": [""browserul Opera Mini"", ""Opera Mini""], ""answer_start"": [373, 383]}"
